datetime,known,policy,reason,tiers,avg_entry,exit,pre_high,maxDD_yen,maxDD_jpy,days_to_BE,days_to_PH,recovered,held_days,pnl_yen,carry_yen
2016-04-28 03:05:00,,ABORT3,TIME,3,107.768,107.144,111.883,2.219,66570.0,7.3,,0,42.0,-18720.0,9301.0
2016-04-28 03:05:00,,HOLD_PH,TP,3,107.768,111.883,111.883,8.813,264390.0,7.3,148.9,1,208.5,123450.0,46171.0
2016-04-28 03:05:00,,HOLD_BE,BE,3,107.768,107.768,111.883,2.219,66570.0,7.3,,0,10.3,0.0,2278.0
2016-06-24 02:40:00,,ABORT3,TP,3,102.464,105.705,105.705,2.47,74100.0,0.1,12.4,1,17.4,97230.0,3662.0
2016-06-24 02:40:00,,HOLD_PH,TP,3,102.464,105.705,105.705,2.47,74100.0,0.1,12.4,1,17.4,97230.0,3662.0
2016-06-24 02:40:00,,HOLD_BE,BE,3,102.464,102.464,105.705,0.987,29610.0,0.1,,0,0.1,0.0,31.0
2016-11-09 02:20:00,,ABORT3,TP,1,103.36,105.467,105.467,0.35,3500.0,0.0,0.3,1,0.4,21070.0,29.0
2016-11-09 02:20:00,,HOLD_PH,TP,1,103.36,105.467,105.467,0.35,3500.0,0.0,0.3,1,0.4,21070.0,29.0
2016-11-09 02:20:00,,HOLD_BE,BE,1,103.36,103.36,105.467,0.106,1060.0,0.0,,0,0.0,0.0,0.0
2019-01-02 22:35:00,,ABORT3,TP,1,107.203,109.138,109.138,0.457,4570.0,0.0,9.8,1,13.7,19350.0,1003.0
2019-01-02 22:35:00,,HOLD_PH,TP,1,107.203,109.138,109.138,0.457,4570.0,0.0,9.8,1,13.7,19350.0,1003.0
2019-01-02 22:35:00,,HOLD_BE,BE,1,107.203,107.203,109.138,0.038,380.0,0.0,,0,0.0,0.0,0.0
2020-03-09 01:45:00,,ABORT3,TP,2,101.764,104.265,104.265,0.584,11680.0,0.0,0.5,1,0.6,50020.0,90.0
2020-03-09 01:45:00,,HOLD_PH,TP,2,101.764,104.265,104.265,0.584,11680.0,0.0,0.5,1,0.6,50020.0,90.0
2020-03-09 01:45:00,,HOLD_BE,BE,2,101.764,101.764,104.265,0.584,11680.0,0.0,,0,0.0,0.0,1.0
2022-08-10 12:45:00,,ABORT3,TP,3,132.475,135.072,135.072,0.744,22320.0,0.1,4.2,1,5.9,77910.0,1619.0
2022-08-10 12:45:00,,HOLD_PH,TP,3,132.475,135.072,135.072,0.744,22320.0,0.1,4.2,1,5.9,77910.0,1619.0
2022-08-10 12:45:00,,HOLD_BE,BE,3,132.475,132.475,135.072,0.744,22320.0,0.1,,0,0.1,0.0,23.0
2022-08-23 14:10:00,,ABORT3,TP,2,136.531,137.641,137.641,0.36,7200.0,0.0,1.8,1,2.5,22200.0,466.0
2022-08-23 14:10:00,,HOLD_PH,TP,2,136.531,137.641,137.641,0.36,7200.0,0.0,1.8,1,2.5,22200.0,466.0
2022-08-23 14:10:00,,HOLD_BE,BE,2,136.531,136.531,137.641,0.36,7200.0,0.0,,0,0.1,0.0,10.0
2022-09-22 08:40:00,2022 1st (since1998) ~145.9->140,ABORT3,ABORT,3,141.461,137.346,145.901,4.202,126060.0,0.1,,0,20.1,-123450.0,5846.0
2022-09-22 08:40:00,2022 1st (since1998) ~145.9->140,HOLD_PH,TP,3,141.461,145.901,145.901,14.243,427290.0,0.1,199.1,1,278.7,133200.0,81004.0
2022-09-22 08:40:00,2022 1st (since1998) ~145.9->140,HOLD_BE,BE,3,141.461,141.461,145.901,1.259,37770.0,0.1,,0,0.1,0.0,21.0
2022-10-23 23:40:00,2022 Tokyo-am follow,ABORT3,ABORT,3,148.415,142.394,149.705,6.415,192450.0,4.2,,0,16.0,-180630.0,4890.0
2022-10-23 23:40:00,2022 Tokyo-am follow,HOLD_PH,TP,3,148.415,149.705,149.705,21.197,635910.0,4.2,240.8,1,337.2,38700.0,102828.0
2022-10-23 23:40:00,2022 Tokyo-am follow,HOLD_BE,BE,3,148.415,148.415,149.705,3.31,99300.0,4.2,,0,5.8,0.0,1781.0
2022-11-10 13:45:00,,ABORT3,ABORT,3,141.38,138.466,146.539,2.918,87540.0,0.0,,0,0.9,-87420.0,260.0
2022-11-10 13:45:00,,HOLD_PH,TP,3,141.38,146.539,146.539,14.162,424860.0,0.0,199.4,1,279.1,154770.0,81090.0
2022-11-10 13:45:00,,HOLD_BE,BE,3,141.38,141.38,146.539,1.178,35340.0,0.0,,0,0.1,0.0,19.0
2022-12-13 13:45:00,,ABORT3,ABORT,3,134.925,131.65,137.604,3.278,98340.0,0.0,,0,0.5,-98250.0,146.0
2022-12-13 13:45:00,,HOLD_PH,TP,3,134.925,137.604,137.604,7.707,231210.0,0.0,55.7,1,78.0,80370.0,21623.0
2022-12-13 13:45:00,,HOLD_BE,BE,3,134.925,134.925,137.604,0.935,28050.0,0.0,,0,0.0,0.0,0.0
2022-12-20 03:10:00,,ABORT3,ABORT,3,131.852,128.996,137.472,2.867,86010.0,0.2,,0,23.1,-85680.0,6252.0
2022-12-20 03:10:00,,HOLD_PH,TP,3,131.852,137.472,137.472,4.634,139020.0,0.2,55.2,1,77.3,168600.0,20953.0
2022-12-20 03:10:00,,HOLD_BE,BE,3,131.852,131.852,137.472,1.286,38580.0,0.2,,0,0.3,0.0,77.0
2024-04-29 04:30:00,2024 holiday thin ~160->154,ABORT3,TIME,3,155.322,156.803,159.594,3.465,103950.0,0.0,,0,42.0,44430.0,13406.0
2024-04-29 04:30:00,2024 holiday thin ~160->154,HOLD_PH,TP,3,155.322,159.594,159.594,3.465,103950.0,0.0,36.3,1,50.8,128160.0,16203.0
2024-04-29 04:30:00,2024 holiday thin ~160->154,HOLD_BE,BE,3,155.322,155.322,159.594,2.333,69990.0,0.0,,0,0.1,0.0,18.0
2024-05-01 20:35:00,2024 post-FOMC late-NY ~158->153,ABORT3,TP,3,155.494,157.585,157.585,3.637,109110.0,4.2,19.4,1,27.2,62730.0,8683.0
2024-05-01 20:35:00,2024 post-FOMC late-NY ~158->153,HOLD_PH,TP,3,155.494,157.585,157.585,3.637,109110.0,4.2,19.4,1,27.2,62730.0,8683.0
2024-05-01 20:35:00,2024 post-FOMC late-NY ~158->153,HOLD_BE,BE,3,155.494,155.494,157.585,3.637,109110.0,4.2,,0,5.9,0.0,1889.0
2024-07-11 13:05:00,2024 US-CPI ~162->157,ABORT3,ABORT,3,158.238,154.409,161.621,3.887,116610.0,0.0,,0,11.7,-114870.0,3793.0
2024-07-11 13:05:00,2024 US-CPI ~162->157,HOLD_PH,OPEN,3,158.238,159.961,161.621,18.662,559860.0,0.0,,0,695.9,51690.0,226284.0
2024-07-11 13:05:00,2024 US-CPI ~162->157,HOLD_BE,BE,3,158.238,158.238,161.621,0.548,16440.0,0.0,,0,0.0,0.0,0.0
2024-07-12 13:10:00,2024 US-CPI ~162->157,ABORT3,ABORT,3,157.338,154.359,159.155,2.987,89610.0,1.0,,0,6.9,-89370.0,2224.0
2024-07-12 13:10:00,2024 US-CPI ~162->157,HOLD_PH,TP,3,157.338,159.155,159.155,17.762,532860.0,1.0,389.5,1,545.3,54510.0,176308.0
2024-07-12 13:10:00,2024 US-CPI ~162->157,HOLD_BE,BE,3,157.338,157.338,159.155,1.968,59040.0,1.0,,0,1.5,0.0,473.0
2024-09-27 06:45:00,,ABORT3,TP,3,142.442,146.491,146.491,0.8,24000.0,0.1,1.9,1,2.6,121470.0,766.0
2024-09-27 06:45:00,,HOLD_PH,TP,3,142.442,146.491,146.491,0.8,24000.0,0.1,1.9,1,2.6,121470.0,766.0
2024-09-27 06:45:00,,HOLD_BE,BE,3,142.442,142.442,146.491,0.8,24000.0,0.1,,0,0.1,0.0,34.0
2026-04-30 10:50:00,2026 Apr-May campaign (11.7T),ABORT3,TP,3,156.068,159.647,159.647,1.039,31170.0,0.0,19.2,1,26.9,107370.0,8618.0
2026-04-30 10:50:00,2026 Apr-May campaign (11.7T),HOLD_PH,TP,3,156.068,159.647,159.647,1.039,31170.0,0.0,19.2,1,26.9,107370.0,8618.0
2026-04-30 10:50:00,2026 Apr-May campaign (11.7T),HOLD_BE,BE,3,156.068,156.068,159.647,0.582,17460.0,0.0,,0,0.0,0.0,2.0
2026-05-01 06:50:00,2026 Apr-May campaign (11.7T),ABORT3,TP,3,156.084,157.298,157.298,1.055,31650.0,0.0,4.2,1,5.8,36420.0,1868.0
2026-05-01 06:50:00,2026 Apr-May campaign (11.7T),HOLD_PH,TP,3,156.084,157.298,157.298,1.055,31650.0,0.0,4.2,1,5.8,36420.0,1868.0
2026-05-01 06:50:00,2026 Apr-May campaign (11.7T),HOLD_BE,BE,3,156.084,156.084,157.298,1.055,31650.0,0.0,,0,0.0,0.0,4.0
2026-05-06 04:50:00,2026 Apr-May campaign (11.7T),ABORT3,TP,1,155.673,157.89,157.89,0.06,600.0,0.0,5.0,1,6.9,22170.0,741.0
2026-05-06 04:50:00,2026 Apr-May campaign (11.7T),HOLD_PH,TP,1,155.673,157.89,157.89,0.06,600.0,0.0,5.0,1,6.9,22170.0,741.0
2026-05-06 04:50:00,2026 Apr-May campaign (11.7T),HOLD_BE,BE,1,155.673,155.673,157.89,0.025,250.0,0.0,,0,0.0,0.0,0.0
