pair,pinbar_thresh,bb_sigma,sl_atr,tp_atr,train_pf,train_wr,train_trades,train_dd,test_pf,test_wr,test_trades,test_dd,all_pf,all_wr,all_trades,all_dd
EURUSD,0.5000,2.0000,1.0000,2.5000,0.4555,0.1250,96,0.0174,0.5291,0.1719,64,0.0079,0.4802,0.1437,160,0.0248
EURUSD,0.5000,2.0000,1.5000,3.0000,0.6818,0.2188,96,0.0156,0.4835,0.2031,64,0.0116,0.6107,0.2125,160,0.0260
EURUSD,0.6000,1.5000,1.5000,2.0000,0.4600,0.2377,223,0.0421,0.7247,0.3200,150,0.0174,0.5568,0.2708,373,0.0566
EURUSD,0.6000,1.5000,1.0000,2.5000,0.4067,0.1256,223,0.0380,0.8186,0.2133,150,0.0111,0.5576,0.1609,373,0.0435
EURUSD,0.6000,1.5000,1.5000,3.0000,0.5554,0.2018,223,0.0383,0.8017,0.2533,150,0.0164,0.6474,0.2225,373,0.0474
EURUSD,0.6000,1.8000,1.5000,2.0000,0.4629,0.2478,113,0.0230,0.9193,0.3684,76,0.0070,0.6140,0.2963,189,0.0274
EURUSD,0.6000,1.8000,1.0000,2.5000,0.4851,0.1504,113,0.0190,0.9320,0.2368,76,0.0064,0.6420,0.1852,189,0.0205
EURUSD,0.6000,1.8000,1.5000,3.0000,0.5836,0.2212,113,0.0207,0.8848,0.2632,76,0.0085,0.6902,0.2381,189,0.0238
EURUSD,0.6000,2.0000,1.5000,2.0000,0.5643,0.2429,70,0.0156,0.7363,0.3404,47,0.0038,0.6190,0.2821,117,0.0166
EURUSD,0.6000,2.0000,1.0000,2.5000,0.5915,0.1429,70,0.0140,0.7015,0.2128,47,0.0038,0.6278,0.1709,117,0.0140
EURUSD,0.6000,2.0000,1.5000,3.0000,0.6237,0.1857,70,0.0169,0.6245,0.2340,47,0.0056,0.6240,0.2051,117,0.0184
EURUSD,0.7000,1.5000,1.5000,2.0000,0.4598,0.2328,189,0.0319,0.7114,0.3175,126,0.0152,0.5536,0.2667,315,0.0460
EURUSD,0.7000,1.5000,1.0000,2.5000,0.4539,0.1323,189,0.0251,0.7879,0.2143,126,0.0095,0.5803,0.1651,315,0.0334
EURUSD,0.7000,1.5000,1.5000,3.0000,0.5831,0.2011,189,0.0259,0.7697,0.2460,126,0.0133,0.6548,0.2190,315,0.0364
EURUSD,0.7000,1.8000,1.5000,2.0000,0.5274,0.2500,92,0.0180,0.9760,0.3871,62,0.0033,0.6695,0.3052,154,0.0195
EURUSD,0.7000,1.8000,1.0000,2.5000,0.6486,0.1630,92,0.0127,0.9246,0.2581,62,0.0036,0.7448,0.2013,154,0.0130
EURUSD,0.7000,1.8000,1.5000,3.0000,0.7034,0.2283,92,0.0149,0.8749,0.2742,62,0.0048,0.7629,0.2468,154,0.0157
EURUSD,0.7000,2.0000,1.5000,2.0000,0.4300,0.1818,55,0.0139,0.8312,0.3684,38,0.0032,0.5557,0.2581,93,0.0164
EURUSD,0.7000,2.0000,1.0000,2.5000,0.5775,0.1273,55,0.0103,0.7592,0.2368,38,0.0039,0.6403,0.1720,93,0.0114
EURUSD,0.7000,2.0000,1.5000,3.0000,0.5316,0.1455,55,0.0145,0.6074,0.2368,38,0.0061,0.5583,0.1828,93,0.0178
GBPUSD,0.4000,1.5000,1.5000,2.0000,0.6475,0.2974,464,0.0726,0.7340,0.3387,310,0.0312,0.6794,0.3140,774,0.0975
GBPUSD,0.4000,1.5000,1.0000,2.5000,0.6649,0.1853,464,0.0551,0.6784,0.1968,310,0.0327,0.6700,0.1899,774,0.0809
GBPUSD,0.4000,1.5000,1.5000,3.0000,0.6803,0.2414,464,0.0764,0.7942,0.2710,310,0.0343,0.7224,0.2532,774,0.0974
GBPUSD,0.4000,1.8000,1.5000,2.0000,0.5563,0.2664,244,0.0513,0.5780,0.2866,164,0.0286,0.5643,0.2745,408,0.0750
GBPUSD,0.4000,1.8000,1.0000,2.5000,0.6089,0.1680,244,0.0341,0.6193,0.1890,164,0.0225,0.6127,0.1765,408,0.0520
GBPUSD,0.4000,1.8000,1.5000,3.0000,0.5969,0.2131,244,0.0531,0.6761,0.2439,164,0.0266,0.6258,0.2255,408,0.0720
GBPUSD,0.4000,2.0000,1.5000,2.0000,0.6268,0.2867,143,0.0287,0.7914,0.3333,96,0.0092,0.6806,0.3054,239,0.0308
GBPUSD,0.4000,2.0000,1.0000,2.5000,0.7380,0.1888,143,0.0192,0.7246,0.2083,96,0.0065,0.7334,0.1967,239,0.0194
GBPUSD,0.4000,2.0000,1.5000,3.0000,0.7613,0.2448,143,0.0258,0.9599,0.3021,96,0.0074,0.8255,0.2678,239,0.0258
GBPUSD,0.5000,1.5000,1.5000,2.0000,0.6742,0.3174,334,0.0430,0.7337,0.3348,224,0.0283,0.6968,0.3244,558,0.0648
GBPUSD,0.5000,1.5000,1.0000,2.5000,0.6803,0.1976,334,0.0331,0.7464,0.2098,224,0.0261,0.7057,0.2025,558,0.0520
GBPUSD,0.5000,1.5000,1.5000,3.0000,0.7153,0.2605,334,0.0474,0.8329,0.2723,224,0.0275,0.7595,0.2652,558,0.0646
GBPUSD,0.5000,1.8000,1.5000,2.0000,0.6380,0.2978,178,0.0291,0.5690,0.2773,119,0.0226,0.6118,0.2896,297,0.0467
GBPUSD,0.5000,1.8000,1.0000,2.5000,0.7137,0.1910,178,0.0181,0.6482,0.2017,119,0.0162,0.6889,0.1953,297,0.0296
GBPUSD,0.5000,1.8000,1.5000,3.0000,0.6870,0.2416,178,0.0306,0.6587,0.2353,119,0.0209,0.6765,0.2391,297,0.0436
GBPUSD,0.5000,2.0000,1.5000,2.0000,0.6833,0.3178,107,0.0208,0.7348,0.3194,72,0.0071,0.7008,0.3184,179,0.0223
GBPUSD,0.5000,2.0000,1.0000,2.5000,0.7999,0.2056,107,0.0133,0.6978,0.2222,72,0.0058,0.7637,0.2123,179,0.0135
GBPUSD,0.5000,2.0000,1.5000,3.0000,0.8480,0.2804,107,0.0173,0.8751,0.2917,72,0.0066,0.8571,0.2849,179,0.0173
GBPUSD,0.6000,1.5000,1.5000,2.0000,0.6234,0.3008,236,0.0353,0.7374,0.3354,158,0.0217,0.6658,0.3147,394,0.0522
GBPUSD,0.6000,1.5000,1.0000,2.5000,0.6883,0.1992,236,0.0222,0.7919,0.2215,158,0.0181,0.7281,0.2081,394,0.0353
GBPUSD,0.6000,1.5000,1.5000,3.0000,0.6736,0.2458,236,0.0393,0.9005,0.2911,158,0.0186,0.7568,0.2640,394,0.0500
GBPUSD,0.6000,1.8000,1.5000,2.0000,0.4843,0.2540,126,0.0289,0.5804,0.2706,85,0.0173,0.5187,0.2607,211,0.0424
GBPUSD,0.6000,1.8000,1.0000,2.5000,0.6215,0.1746,126,0.0153,0.7140,0.2118,85,0.0114,0.6555,0.1896,211,0.0238
GBPUSD,0.6000,1.8000,1.5000,3.0000,0.4825,0.1905,126,0.0329,0.7309,0.2471,85,0.0161,0.5688,0.2133,211,0.0433
GBPUSD,0.6000,2.0000,1.5000,2.0000,0.4708,0.2564,78,0.0223,0.6433,0.2885,52,0.0076,0.5277,0.2692,130,0.0272
GBPUSD,0.6000,2.0000,1.0000,2.5000,0.5747,0.1667,78,0.0134,0.7007,0.2115,52,0.0063,0.6181,0.1846,130,0.0163
GBPUSD,0.6000,2.0000,1.5000,3.0000,0.5706,0.2179,78,0.0211,0.7843,0.2692,52,0.0063,0.6403,0.2385,130,0.0231
GBPUSD,0.7000,1.5000,1.5000,2.0000,0.6689,0.3247,154,0.0207,0.6068,0.3077,104,0.0191,0.6451,0.3178,258,0.0380
GBPUSD,0.7000,1.5000,1.0000,2.5000,0.7692,0.2143,154,0.0121,0.6790,0.2019,104,0.0140,0.7341,0.2093,258,0.0246
GBPUSD,0.7000,1.5000,1.5000,3.0000,0.6761,0.2532,154,0.0262,0.6767,0.2404,104,0.0206,0.6763,0.2481,258,0.0435
GBPUSD,0.7000,1.8000,1.5000,2.0000,0.6284,0.3095,84,0.0157,0.4557,0.2456,57,0.0135,0.5647,0.2837,141,0.0281
GBPUSD,0.7000,1.8000,1.0000,2.5000,0.7521,0.2024,84,0.0089,0.5812,0.1930,57,0.0076,0.6904,0.1986,141,0.0170
GBPUSD,0.7000,1.8000,1.5000,3.0000,0.5799,0.2262,84,0.0217,0.5400,0.2105,57,0.0136,0.5658,0.2199,141,0.0337
GBPUSD,0.7000,2.0000,1.5000,2.0000,0.5361,0.3000,50,0.0134,0.4974,0.2647,34,0.0078,0.5227,0.2857,84,0.0208
GBPUSD,0.7000,2.0000,1.0000,2.5000,0.5709,0.1800,50,0.0074,0.5704,0.1765,34,0.0052,0.5707,0.1786,84,0.0128
GBPUSD,0.7000,2.0000,1.5000,3.0000,0.5913,0.2400,50,0.0147,0.5807,0.2353,34,0.0080,0.5877,0.2381,84,0.0220
AUDUSD,0.4000,1.5000,1.5000,2.0000,0.5701,0.2893,159,0.0217,0.5640,0.2547,106,0.0134,0.5678,0.2755,265,0.0324
AUDUSD,0.4000,1.5000,1.0000,2.5000,0.7212,0.1950,159,0.0128,0.3637,0.1132,106,0.0143,0.5769,0.1623,265,0.0260
AUDUSD,0.4000,1.5000,1.5000,3.0000,0.7263,0.2516,159,0.0172,0.5067,0.1792,106,0.0167,0.6406,0.2226,265,0.0312
AUDUSD,0.4000,1.8000,1.5000,2.0000,0.5055,0.2346,81,0.0152,0.5401,0.2545,55,0.0073,0.5186,0.2426,136,0.0203
AUDUSD,0.4000,1.8000,1.0000,2.5000,0.6758,0.1728,81,0.0089,0.3538,0.1273,55,0.0073,0.5450,0.1544,136,0.0152
AUDUSD,0.4000,1.8000,1.5000,3.0000,0.7385,0.2222,81,0.0117,0.3111,0.1455,55,0.0111,0.5625,0.1912,136,0.0207
AUDUSD,0.4000,2.0000,1.5000,2.0000,0.6289,0.2708,48,0.0082,0.3041,0.1212,33,0.0069,0.4985,0.2099,81,0.0135
AUDUSD,0.4000,2.0000,1.0000,2.5000,0.6969,0.1667,48,0.0063,0.0741,0.0303,33,0.0065,0.4415,0.1111,81,0.0130
AUDUSD,0.4000,2.0000,1.5000,3.0000,0.8176,0.2292,48,0.0074,0.0996,0.0606,33,0.0087,0.5218,0.1605,81,0.0158
AUDUSD,0.5000,1.5000,1.5000,2.0000,0.6042,0.2984,124,0.0165,0.6638,0.3012,83,0.0093,0.6261,0.2995,207,0.0228
AUDUSD,0.5000,1.5000,1.0000,2.5000,0.8195,0.2097,124,0.0092,0.3589,0.1205,83,0.0111,0.6313,0.1739,207,0.0190
AUDUSD,0.5000,1.5000,1.5000,3.0000,0.7868,0.2661,124,0.0133,0.5264,0.2048,83,0.0128,0.6852,0.2415,207,0.0231
AUDUSD,0.5000,1.8000,1.5000,2.0000,0.6061,0.2656,64,0.0102,0.4885,0.2558,43,0.0057,0.5596,0.2617,107,0.0154
AUDUSD,0.5000,1.8000,1.0000,2.5000,0.8312,0.2031,64,0.0061,0.2428,0.1163,43,0.0061,0.5816,0.1682,107,0.0127
AUDUSD,0.5000,1.8000,1.5000,3.0000,0.8403,0.2500,64,0.0074,0.2793,0.1628,43,0.0080,0.6055,0.2150,107,0.0163
AUDUSD,0.5000,2.0000,1.5000,2.0000,0.8825,0.3243,37,0.0054,0.2122,0.1154,26,0.0056,0.5988,0.2381,63,0.0101
AUDUSD,0.5000,2.0000,1.0000,2.5000,0.9057,0.2162,37,0.0052,0.0998,0.0385,26,0.0046,0.5823,0.1429,63,0.0101
AUDUSD,0.5000,2.0000,1.5000,3.0000,1.0364,0.2973,37,0.0055,0.0799,0.0385,26,0.0070,0.6163,0.1905,63,0.0126
AUDUSD,0.6000,1.5000,1.5000,2.0000,0.4927,0.2766,94,0.0147,0.7171,0.3333,63,0.0068,0.5742,0.2994,157,0.0194
AUDUSD,0.6000,1.5000,1.0000,2.5000,0.6442,0.1915,94,0.0094,0.4321,0.1429,63,0.0086,0.5582,0.1720,157,0.0171
AUDUSD,0.6000,1.5000,1.5000,3.0000,0.5982,0.2340,94,0.0141,0.6180,0.2381,63,0.0091,0.6057,0.2357,157,0.0206
AUDUSD,0.6000,1.8000,1.5000,2.0000,0.4223,0.2245,49,0.0107,0.6770,0.3030,33,0.0039,0.5021,0.2561,82,0.0133
AUDUSD,0.6000,1.8000,1.0000,2.5000,0.5427,0.1633,49,0.0077,0.3737,0.1515,33,0.0036,0.4832,0.1585,82,0.0117
AUDUSD,0.6000,1.8000,1.5000,3.0000,0.5636,0.2041,49,0.0099,0.4522,0.2121,33,0.0049,0.5265,0.2073,82,0.0144
AUDUSD,0.6000,2.0000,1.5000,2.0000,0.6769,0.2857,28,0.0059,0.1315,0.1000,20,0.0047,0.4534,0.2083,48,0.0097
AUDUSD,0.6000,2.0000,1.0000,2.5000,0.5663,0.1786,28,0.0057,0.1394,0.0500,20,0.0030,0.4082,0.1250,48,0.0090
AUDUSD,0.6000,2.0000,1.5000,3.0000,0.6801,0.2500,28,0.0063,0.1116,0.0500,20,0.0047,0.4489,0.1667,48,0.0111
AUDUSD,0.7000,1.5000,1.5000,2.0000,0.3835,0.2273,66,0.0131,0.6767,0.2955,44,0.0067,0.4867,0.2545,110,0.0169
AUDUSD,0.7000,1.5000,1.0000,2.5000,0.5040,0.1515,66,0.0083,0.2104,0.0455,44,0.0090,0.3826,0.1091,110,0.0161
AUDUSD,0.7000,1.5000,1.5000,3.0000,0.4266,0.1818,66,0.0135,0.4731,0.1818,44,0.0085,0.4439,0.1818,110,0.0201
AUDUSD,0.7000,1.8000,1.5000,2.0000,0.3730,0.1892,37,0.0090,0.5630,0.2400,25,0.0043,0.4394,0.2097,62,0.0109
AUDUSD,0.7000,1.8000,1.0000,2.5000,0.5712,0.1622,37,0.0059,0.0000,0.0000,25,0.0054,0.3297,0.0968,62,0.0103
AUDUSD,0.7000,1.8000,1.5000,3.0000,0.5595,0.1892,37,0.0080,0.1952,0.1200,25,0.0053,0.4182,0.1613,62,0.0122
AUDUSD,0.7000,2.0000,1.5000,2.0000,0.5930,0.2727,22,0.0045,0.0737,0.0667,15,0.0039,0.3958,0.1892,37,0.0077
AUDUSD,0.7000,2.0000,1.0000,2.5000,0.3321,0.1364,22,0.0050,0.0000,0.0000,15,0.0028,0.2204,0.0811,37,0.0079
AUDUSD,0.7000,2.0000,1.5000,3.0000,0.4987,0.2273,22,0.0050,0.0000,0.0000,15,0.0042,0.3105,0.1351,37,0.0094
NZDUSD,0.4000,1.5000,1.5000,2.0000,0.4196,0.2207,145,0.0206,0.9013,0.3196,97,0.0059,0.5778,0.2603,242,0.0228
NZDUSD,0.4000,1.5000,1.0000,2.5000,0.3350,0.0897,145,0.0189,0.6919,0.1340,97,0.0078,0.4612,0.1074,242,0.0236
NZDUSD,0.4000,1.5000,1.5000,3.0000,0.5124,0.1862,145,0.0185,1.0432,0.2577,97,0.0081,0.6921,0.2149,242,0.0185
NZDUSD,0.4000,1.8000,1.5000,2.0000,0.6716,0.2976,84,0.0095,0.6455,0.2807,57,0.0056,0.6616,0.2908,141,0.0114
NZDUSD,0.4000,1.8000,1.0000,2.5000,0.5040,0.1190,84,0.0116,0.3069,0.0702,57,0.0068,0.4258,0.0993,141,0.0157
NZDUSD,0.4000,1.8000,1.5000,3.0000,0.8513,0.2619,84,0.0083,0.7400,0.2281,57,0.0059,0.8079,0.2482,141,0.0083
NZDUSD,0.4000,2.0000,1.5000,2.0000,1.3133,0.4259,54,0.0032,0.2217,0.1389,36,0.0064,0.8026,0.3111,90,0.0068
NZDUSD,0.4000,2.0000,1.0000,2.5000,0.7326,0.1667,54,0.0059,0.0906,0.0278,36,0.0053,0.4810,0.1111,90,0.0089
NZDUSD,0.4000,2.0000,1.5000,3.0000,1.5731,0.3704,54,0.0036,0.2372,0.1111,36,0.0068,0.9692,0.2667,90,0.0071
NZDUSD,0.5000,1.5000,1.5000,2.0000,0.3883,0.2018,109,0.0179,0.7961,0.2973,74,0.0050,0.5208,0.2404,183,0.0199
NZDUSD,0.5000,1.5000,1.0000,2.5000,0.3517,0.0917,109,0.0143,0.4708,0.0946,74,0.0068,0.3946,0.0929,183,0.0200
NZDUSD,0.5000,1.5000,1.5000,3.0000,0.4920,0.1743,109,0.0161,0.8758,0.2297,74,0.0072,0.6219,0.1967,183,0.0171
NZDUSD,0.5000,1.8000,1.5000,2.0000,0.5108,0.2500,60,0.0084,0.6121,0.2683,41,0.0050,0.5478,0.2574,101,0.0104
NZDUSD,0.5000,1.8000,1.0000,2.5000,0.2672,0.0667,60,0.0092,0.2031,0.0488,41,0.0057,0.2426,0.0594,101,0.0145
NZDUSD,0.5000,1.8000,1.5000,3.0000,0.6966,0.2333,60,0.0070,0.6986,0.2195,41,0.0059,0.6974,0.2277,101,0.0076
NZDUSD,0.5000,2.0000,1.5000,2.0000,0.8466,0.3250,40,0.0035,0.2864,0.1786,28,0.0047,0.5997,0.2647,68,0.0059
NZDUSD,0.5000,2.0000,1.0000,2.5000,0.2872,0.0750,40,0.0056,0.1133,0.0357,28,0.0042,0.2203,0.0588,68,0.0097
NZDUSD,0.5000,2.0000,1.5000,3.0000,1.1249,0.3000,40,0.0028,0.3029,0.1429,28,0.0050,0.7609,0.2353,68,0.0056
NZDUSD,0.6000,1.5000,1.5000,2.0000,0.3837,0.2069,87,0.0142,0.7487,0.2759,58,0.0049,0.5080,0.2345,145,0.0157
NZDUSD,0.6000,1.5000,1.0000,2.5000,0.2208,0.0690,87,0.0134,0.5517,0.1034,58,0.0059,0.3378,0.0828,145,0.0170
NZDUSD,0.6000,1.5000,1.5000,3.0000,0.5074,0.1839,87,0.0130,0.8910,0.2241,58,0.0064,0.6415,0.2000,145,0.0130
NZDUSD,0.6000,1.8000,1.5000,2.0000,0.5612,0.2708,48,0.0062,0.5544,0.2424,33,0.0050,0.5585,0.2593,81,0.0081
NZDUSD,0.6000,1.8000,1.0000,2.5000,0.2318,0.0625,48,0.0077,0.2483,0.0606,33,0.0044,0.2383,0.0617,81,0.0117
NZDUSD,0.6000,1.8000,1.5000,3.0000,0.7485,0.2500,48,0.0054,0.6993,0.2121,33,0.0054,0.7290,0.2346,81,0.0055
NZDUSD,0.6000,2.0000,1.5000,2.0000,0.8648,0.3333,33,0.0032,0.2889,0.1739,23,0.0041,0.6040,0.2679,56,0.0049
NZDUSD,0.6000,2.0000,1.0000,2.5000,0.1890,0.0606,33,0.0054,0.1351,0.0435,23,0.0036,0.1683,0.0536,56,0.0087
NZDUSD,0.6000,2.0000,1.5000,3.0000,1.1172,0.3030,33,0.0034,0.2844,0.1304,23,0.0047,0.7387,0.2321,56,0.0049
NZDUSD,0.7000,1.5000,1.5000,2.0000,0.3767,0.2000,55,0.0083,0.6479,0.2368,38,0.0045,0.4719,0.2151,93,0.0108
NZDUSD,0.7000,1.5000,1.0000,2.5000,0.1468,0.0545,55,0.0085,0.3956,0.0789,38,0.0041,0.2375,0.0645,93,0.0120
NZDUSD,0.7000,1.5000,1.5000,3.0000,0.4913,0.1818,55,0.0073,0.9718,0.2368,38,0.0044,0.6569,0.2043,93,0.0078
NZDUSD,0.7000,1.8000,1.5000,2.0000,0.5906,0.2667,30,0.0034,0.6834,0.2381,21,0.0026,0.6277,0.2549,51,0.0040
NZDUSD,0.7000,1.8000,1.0000,2.5000,0.1049,0.0333,30,0.0054,0.2538,0.0476,21,0.0027,0.1642,0.0392,51,0.0076
NZDUSD,0.7000,1.8000,1.5000,3.0000,0.7222,0.2333,30,0.0035,1.0251,0.2381,21,0.0026,0.8391,0.2353,51,0.0035
NZDUSD,0.7000,2.0000,1.5000,2.0000,0.9216,0.3636,22,0.0015,0.6368,0.2000,15,0.0026,0.8019,0.2973,37,0.0026
NZDUSD,0.7000,2.0000,1.0000,2.5000,0.1416,0.0455,22,0.0040,0.0000,0.0000,15,0.0027,0.0848,0.0270,37,0.0062
NZDUSD,0.7000,2.0000,1.5000,3.0000,1.0920,0.3182,22,0.0019,0.9552,0.2000,15,0.0026,1.0375,0.2703,37,0.0026
